Correlation between Frequency and 1st PC,Correlation between Frequency and 2nd PC,Correlation between Orientation and 1st PC,Correlation between Orientation and 2nd PC,Layer,P-value for Correlation between Frequency and 1st PC,P-value for Correlation between Frequency and 2nd PC,P-value for Correlation between Orientation and 1st PC,P-value for Correlation between Orientation and 2nd PC,Frequency,Orientation
-0.7044472829828137,-0.0038283109290035496,-0.00307529224973069,0.5792946822205309,0,2.1689496267416586e-13,0.972941431380978,0.9782623305763585,1.4629557688366038e-08,0.7044472829828137,0.5792946822205309
-0.7044472829828137,-0.0038283109290035496,-0.00307529224973069,0.5792946822205309,1,2.1689496267416586e-13,0.972941431380978,0.9782623305763585,1.4629557688366038e-08,0.7044472829828137,0.5792946822205309
-0.7044472829828137,-0.0038283109290035496,-0.00307529224973069,0.5792946822205309,2,2.1689496267416586e-13,0.972941431380978,0.9782623305763585,1.4629557688366038e-08,0.7044472829828137,0.5792946822205309
-0.6974473214179855,-0.004312262090899777,-0.0035688350192638915,0.5752071046546218,3,4.691835200003439e-13,0.9695223968020965,0.9747747903914213,1.9476658378941325e-08,0.6974473214179855,0.5752071046546218
-0.6974473210773631,-0.004312269930425914,-0.003568841635765747,0.5752071048207191,4,4.691835373643072e-13,0.9695223414214259,0.9747747436400109,1.9476658154002048e-08,0.6974473210773631,0.5752071048207191
-0.6974473210773272,-0.004312269929283506,-0.00356884163484621,0.5752071048207508,5,4.691835373661493e-13,0.9695223414295194,0.9747747436466053,1.947665815395918e-08,0.6974473210773272,0.5752071048207508
0.5681861313174443,-0.4840330858955276,0.7324571201868727,0.354831815702855,6,3.155509363960859e-08,4.692418971179326e-06,7.792195451368263e-15,0.0011528197452009873,0.5681861313174443,0.7324571201868727
0.5179355346636121,-0.18726219672319316,0.7624582588242188,0.1111110954739168,7,7.345989104832259e-07,0.09412893105335428,1.346407754222725e-16,0.32338827888113875,0.5179355346636121,0.7624582588242188
0.4095422983417162,0.8349194995400164,0.81498130310927,-0.4665829549626241,8,0.0001467319818535832,3.4646765471153486e-22,2.0816167147900243e-20,1.1312238905204231e-05,0.8349194995400164,0.81498130310927
0.6325078815543232,0.5663856367610289,0.6713112050247875,-0.576239444320844,9,2.388143321497831e-10,3.56472189424023e-08,6.954788053435712e-12,1.8125348755234167e-08,0.6325078815543232,0.6713112050247875
0.44174313930994336,0.5695099650256434,0.8078874167839871,-0.39277427815563304,10,3.653630216317794e-05,2.883570481046298e-08,7.949073725754738e-20,0.00028680437073974965,0.5695099650256434,0.8078874167839871
-0.38044101080038123,0.5533360454938437,-0.8338657560507522,-0.43148882646125847,11,0.00045923943584759636,8.444558249718548e-08,4.360050822070204e-22,5.776322748848394e-05,0.5533360454938437,0.8338657560507522
-0.25840978341649457,0.5244481172287832,-0.8883244730749378,-0.311597081280729,12,0.01984573655609866,5.025277600168606e-07,2.0004468952339167e-28,0.004630883905270173,0.5244481172287832,0.8883244730749378
-0.47134683813468237,0.38291798782903547,-0.8010152331550933,-0.41692245474908257,13,8.939005099992001e-06,0.00041842383622289487,2.7636647611599374e-19,0.00010801203127858706,0.47134683813468237,0.8010152331550933
-0.20875397712140822,0.08047046488155785,-0.9297727148425277,0.09324487150437964,14,0.06144962557769248,0.47514254058979355,4.977536078081204e-36,0.4076896110730547,0.20875397712140822,0.9297727148425277
-0.23513653376984564,-0.1388512954936461,-0.9163475171592333,0.23337031032100633,15,0.03459559924294145,0.2163705314476819,3.8399165719927855e-33,0.03601721571669812,0.23513653376984564,0.9163475171592333
-0.32212042111538014,-0.8595095826736007,-0.8827064269487029,0.23926095350183194,16,0.00336116032370026,9.74782060893138e-25,1.2435792812520856e-27,0.03145806974978959,0.8595095826736007,0.8827064269487029
-0.22486242164985734,-0.8962316869231736,-0.9082787212384582,0.15740773404268066,17,0.04356704479277348,1.2861633614274643e-29,1.2454406642703349e-31,0.16049271838724743,0.8962316869231736,0.9082787212384582
-0.516856884338402,-0.7510393037123012,-0.7708880333199477,0.4718534905703994,18,7.816828514836913e-07,6.751366798104944e-16,3.8601839623390694e-17,8.71612558977302e-06,0.7510393037123012,0.7708880333199477
-0.5504921058849068,-0.6483251224434896,-0.7480651085371038,0.4319607919880865,19,1.0141360382403101e-07,6.006556276595114e-11,1.012983781983881e-15,5.657637087290195e-05,0.6483251224434896,0.7480651085371038
-0.6008115623215828,-0.6315659198792114,-0.7013578257917918,0.4428668536267725,20,3.033530149668957e-09,2.5863332114961946e-10,3.057278907320724e-13,3.471640607273864e-05,0.6315659198792114,0.7013578257917918
-0.831947969223384,0.37415428555085944,-0.3397314937444415,-0.669559817512121,21,6.597808620606129e-22,0.0005797176389708152,0.0019163096199611835,8.251605388209565e-12,0.831947969223384,0.669559817512121
-0.9004142758337338,0.14455407320152447,-0.18326962103638988,-0.8166962317862915,22,2.7501665899097185e-30,0.19790612088772033,0.10148575776106282,1.4927090908326996e-20,0.9004142758337338,0.8166962317862915
-0.8597978995070972,0.0023994484301202755,-0.08335506837535261,-0.7609545167449865,23,9.040346028984522e-25,0.9830387198628097,0.45940658498570464,1.6734403643253547e-16,0.8597978995070972,0.7609545167449865
-0.8734927826763987,-0.0647961362713184,-0.036621658852835526,-0.7710521648101777,24,2.0518803694832533e-26,0.5654903757876424,0.7454982087481211,3.765437561690372e-17,0.8734927826763987,0.7710521648101777
0.2997732795296718,0.7020646230301766,-0.47777201773776407,0.14849218856239388,25,0.006550810823699576,2.8274527995725285e-13,6.4703310209300955e-06,0.1858334552996672,0.7020646230301766,0.47777201773776407
