Frequency,Image,Orientation,1st PC Layer 0,2nd PC Layer 0,1st PC Layer 1,2nd PC Layer 1,1st PC Layer 2,2nd PC Layer 2,1st PC Layer 3,2nd PC Layer 3,1st PC Layer 4,2nd PC Layer 4,1st PC Layer 5,2nd PC Layer 5,1st PC Layer 6,2nd PC Layer 6,1st PC Layer 7,2nd PC Layer 7,1st PC Layer 8,2nd PC Layer 8,1st PC Layer 9,2nd PC Layer 9,1st PC Layer 10,2nd PC Layer 10,1st PC Layer 11,2nd PC Layer 11,1st PC Layer 12,2nd PC Layer 12,1st PC Layer 13,2nd PC Layer 13,1st PC Layer 14,2nd PC Layer 14,1st PC Layer 15,2nd PC Layer 15,1st PC Layer 16,2nd PC Layer 16,1st PC Layer 17,2nd PC Layer 17,1st PC Layer 18,2nd PC Layer 18,1st PC Layer 19,2nd PC Layer 19,1st PC Layer 20,2nd PC Layer 20,1st PC Layer 21,2nd PC Layer 21,1st PC Layer 22,2nd PC Layer 22,1st PC Layer 23,2nd PC Layer 23,1st PC Layer 24,2nd PC Layer 24,1st PC Layer 25,2nd PC Layer 25
20,f20o11_left,11,1781.1514880176908,-4832.588532984183,1781.1514880176908,-4832.588532984183,1781.1514880176908,-4832.588532984183,1832.226156472941,-5063.029443591318,1832.2261245153518,-5063.0294556215085,14.314266597792178,-39.554917622032896,-55.56756994693092,13.412980206360622,-72.52579756584541,12.249243413332959,-92.41111143133568,-12.662404985746027,-129.14679149068533,-29.059364521456782,-120.17155001888565,-38.139531672739544,257.9486142868634,-72.41385517706986,140.2393367153975,-60.20681023487481,150.75160665240332,-36.75881474632082,127.06442858001387,31.307373796485113,87.7855171930912,25.584770409886218,97.32945391938823,18.715697853993824,79.49185084354787,33.1397265715333,99.01677118440773,8.696399518526828,76.14870990981312,-5.256139015965278,29.915322458967285,8.706372113623397,39.72248501977804,13.711559470001987,27.44008441598783,-14.957958768475986,44.83932306744059,76.08942270853764,3.0720760893537995,6.8277411226002265,-0.12097834015005854,-0.05856232168566143
20,f20o21_left,21,3117.0709938651657,-4651.565092565753,3117.0709938651657,-4651.565092565753,3117.0709938651657,-4651.565092565753,3240.272578475967,-4871.704187405173,3240.2725546962565,-4871.704200422018,25.31462933358712,-38.060189065779895,-51.64119791690901,15.347878705530658,-65.53711323229878,11.502569360203035,-87.64392695874474,-28.287076831353442,-111.49685756747247,-22.37806885583612,-98.92334473466168,-23.015971912842062,197.92669026971845,-37.14623731490569,106.789296027818,-27.41365750765049,124.50471920718988,-5.594674715003993,94.6130351112691,-30.543127987998744,59.71580072694952,-9.435389700028447,73.25651726822505,49.56368976948727,54.599778384665136,45.96902928421876,80.02098858414801,35.55986096448134,68.29087781879068,23.224584595200156,30.430194626964116,-5.8085769957938345,40.15961525808082,-0.5683858120560783,32.74885624332575,-6.181466669819046,112.98236704925196,42.805410214294035,7.951843995847299,3.528904255674146,-0.10892954571031607,0.0032895643890466842
20,f20o31_left,31,4152.99853536857,-2812.7493707151166,4152.99853536857,-2812.7493707151166,4152.99853536857,-2812.7493707151166,4334.3862901757675,-2943.6445942869673,4334.386279227641,-2943.644607705364,33.86239280648053,-22.997223497679496,-43.972572142403116,18.021877340448818,-55.22305276703024,11.034376582117185,-73.70344570195346,-48.235027359321414,-91.88229980563665,-22.49713500934909,-71.97032890935577,-17.314121820308017,127.01441389172167,-26.81692147738828,64.00290372430888,-11.04380063615343,83.83969985807488,10.242757112176154,50.08478905493523,-64.63191707352455,29.621091359922833,-27.045407619844227,40.12069950055061,65.86644498018106,25.155373363166596,54.107407287029574,50.08600350818997,54.90827325696788,50.680845606607924,45.933779047330745,26.283883018368513,-17.507979508213655,35.353238593291245,-12.800815795135387,34.20330257289324,3.76652224601546,144.03583188205747,-6.316669405796346,10.23378783510028,-0.47786965695876404,-0.16721903589036166,0.030006658580717372
20,f20o41_left,41,4531.34967831492,22.816336941183646,4531.34967831492,22.816336941183646,4531.34967831492,22.816336941183646,4732.686019011916,28.637727011986627,4732.686023694968,28.637712317721213,36.97410956011741,0.22373212750419078,-35.23439117333832,22.076770265816144,-43.89489539489488,11.236977804196375,-54.77309076545412,-71.04212906331045,-72.92468229310701,-28.97036255937317,-46.0369169057896,-21.359705531850086,62.594285184481805,-41.02603297403895,23.185324784596457,-12.264494350657811,48.78806759002046,4.027922047482865,12.624842680485632,-70.08632976680568,5.13534567550954,-25.637635370283498,12.47586717807052,69.96089379012527,3.9209781568554543,57.736514261103856,28.315761204205593,62.26741101057898,30.294967447837898,55.44938954194263,19.14427164999135,-23.72381820486306,31.19520895140202,-23.040783699525992,33.55199056296826,13.288302228068277,145.6820650086686,-38.883902037972256,10.651505856663828,-2.446410387449271,-0.17966406295582274,0.017316490893237724
20,f20o51_left,51,4123.1226366879855,2853.413906348918,4123.1226366879855,2853.413906348918,4123.1226366879855,2853.413906348918,4296.24219673039,2994.9910311256876,4296.242210832174,2994.9910180339225,33.56439227210794,23.398367328410618,-26.89234393846668,27.13355340332482,-32.976085806915066,11.747840999843792,-34.47072405198219,-93.58164422203633,-57.31860078452027,-40.123406212893514,-23.794465091216622,-33.24696981079294,12.476401734257081,-72.09277224405272,-10.762611750938742,-27.193138342168183,21.48667029960513,-16.53047120407344,-17.95873225047162,-53.70224428256448,-15.149761073715636,-13.411744039252573,-10.34897585498386,68.51828177549616,-14.36343962836407,56.06295857308034,6.59794468319362,61.74348496820228,8.714649463734972,53.590242740880484,10.440244708932749,-25.085253404124533,23.13796704074377,-28.80348436879937,27.837182483990777,20.427922526069224,121.20548661848508,-53.09090157512114,9.047454870983904,-2.824007644628999,-0.18967778976408922,0.05856360692883744
20,f20o61_left,61,3068.860416609121,4681.067852986131,3068.860416609121,4681.067852986131,3068.860416609121,4681.067852986131,3177.265025602944,4909.745888057563,3177.2650452638836,4909.745866964009,24.822383166096174,38.35738958566651,-19.612435625541025,32.27701362507945,-23.087357381244722,12.611371967048886,-15.531944957048688,-111.84558465823216,-46.71527605738732,-54.53895873100124,-8.08003443896819,-50.08604349110962,-18.342417028825675,-113.49722825677188,-34.147592693834646,-50.9431447224437,2.3315680509868164,-44.49620606295606,-43.582300373553494,-24.2399193511434,-29.47595179973847,2.5291815415598773,-25.863184709920347,62.34352074975691,-27.420810842432676,51.11630725549147,-9.132701790257933,56.288430390121725,-6.384910202574039,45.58116271966568,3.2276687838032605,-21.48799514051796,14.962815914667408,-29.248677357683473,20.68422696989414,25.28060379892805,100.39500630969802,-69.42177084188472,7.399117424082389,-3.411680875705937,-0.1990897882093749,0.03647187954520893
20,f20o71_left,71,1729.3579176363269,4851.657081995146,1729.3579176363269,4851.657081995146,1729.3579176363269,4851.657081995146,1764.3208448063076,5087.5374457484995,1764.3208559382715,5087.537441710039,13.783756686991339,39.74638626336552,-14.000438307799387,34.16537512752699,-15.0040504328977,12.355354249412603,0.04024586179517489,-120.62413148073436,-42.784412676258555,-70.2422434631477,-1.243732271421902,-69.04647315028807,-27.956291488473067,-159.85026721069306,-44.873954579627544,-80.40533816384074,-7.137116708835165,-74.39629864195591,-61.9404674709019,13.747336816092595,-36.52795512020548,22.601207804620593,-32.745859870341604,53.272417721225274,-33.34091570807441,45.7579040812876,-16.48819326172309,49.80028431863682,-13.185808598047561,38.640060941829425,0.36854041953325367,-18.502409031612714,11.432541814672849,-26.86441597786311,16.866441772725494,24.91309289626214,83.25646416669841,-68.38220886477836,6.087495488596253,-3.343562546707345,-0.20589411538963956,-0.017511832041019706
20,f20o81_left,81,567.273119033925,3352.8364828736694,567.273119033925,3352.8364828736694,567.273119033925,3352.8364828736694,552.5343201099205,3515.945350588997,552.5343266501835,3515.9453488257163,4.316674426937243,27.468323037703094,-10.307716515025563,27.73874491579936,-9.54135159465422,10.19618753897074,9.42767447896402,-105.48663321813638,-44.651842452653305,-82.0861070834936,-3.3452634190418267,-87.47543536230408,-16.671026294344742,-208.08302347327822,-42.95838677431191,-113.93967138249117,-2.442276842497019,-105.92813382298425,-70.53905862470062,57.0981178193639,-36.2327008455726,45.07405258603263,-32.47503716424702,41.49821439509579,-33.56121730874397,38.068227561971774,-19.299103026807153,41.87384036384037,-14.752525117073482,27.35237380792646,-0.4635712075728948,-11.042748935415545,10.803873158129853,-17.119084193636795,11.367666765755935,16.847774575048675,28.946095789111254,-34.5913002433059,2.277854343801501,-1.6579756887036983,-0.15573673771696464,-0.041337407185090394
30,f30o01_left,1,-626.4808632137456,-1907.3472641853346,-626.4808632137456,-1907.3472641853346,-626.4808632137456,-1907.3472641853346,-694.3932812809625,-1967.791345709658,-694.3932897550308,-1967.7913505545687,-5.424947576211925,-15.373369926219862,-51.05217121902316,5.5518810297098025,-77.2984309269183,10.507587408916724,-96.78801741064095,9.17715061283208,-138.24711338983985,-25.679834959845447,-134.74841551233553,-50.1378046865846,303.8724522335108,-102.15962936044892,168.39263361925987,-88.66088645790494,160.8287651682264,-65.52474504049619,144.86226626460478,107.70497928022185,101.98648644280956,63.501161678716,105.84355369268343,-23.32906533749874,94.77847902284667,5.990052513694459,87.0974770385782,-35.15432963777124,54.79902920181047,-40.877049961419665,20.43925943479969,23.544261424410358,22.066789175934126,26.047620611818637,11.16261001067104,-22.015788693481337,0.6306862422762,78.4036956998518,-0.47810761526951073,4.573737173470445,-0.06659763088744909,-0.06173913248464872
30,f30o11_left,11,-321.2719625134353,-2872.533541200219,-321.2719625134353,-2872.533541200219,-321.2719625134353,-2872.533541200219,-388.91196395794555,-2961.908617808751,-388.9119828442773,-2961.908626115927,-3.038374865965107,-23.13991114153175,-52.7177277309029,5.808963528401856,-72.40906438783232,9.743368542963283,-97.45246909856633,1.6038587432956641,-121.67283568861937,-9.953362953165783,-120.97561768212059,-20.269421639470888,258.3237689836855,-31.937985649574006,149.20780514556952,-30.923531223056973,150.5056409814834,-15.075165262576572,134.79251113852465,15.833599335542438,86.27442886555318,11.44926617765703,95.16349498265627,2.0143576576078495,85.2980386481349,16.367346176006397,86.43792741647592,-14.741320813889148,59.78664869051095,-17.743656647769306,21.67415635285582,12.065773733270738,25.705764357865082,16.03163379882906,19.02515535672949,-15.254109405813349,41.946435413077424,54.47188901624957,2.85966413537641,3.4730764341888545,0.32830731280098063,0.017156869923083025
30,f30o21_left,21,285.8229337856316,-2788.5250496470053,285.8229337856316,-2788.5250496470053,285.8229337856316,-2788.5250496470053,241.74888478528663,-2876.4392679420243,241.74887206412794,-2876.439274775457,1.8886630630125307,-22.47218183418583,-45.050149711417916,5.922301040598886,-62.08209570964175,8.172922805193073,-87.69665454591119,-13.75742805196123,-95.99393787732237,0.35642222976602467,-92.33629589151492,1.27686446299597,178.79874671364294,18.67855443732014,103.59248777804255,13.538001469716068,107.7054973061485,31.443827623937842,91.59699076562852,-56.18946228068391,53.96290857723585,-27.062189104219044,64.1863629131912,31.82329717270084,53.875087785041906,28.967612982455464,63.594944141341124,18.22967835996841,52.15567278497388,14.495420164295593,23.326117107358467,-4.99479407639647,28.726465316014817,-2.2288675205580457,28.05460980045496,-4.485669538968756,114.78053722200372,14.227238399683229,8.073057843938665,0.7851642695925833,-0.04407334124640705,0.042401776593969515
30,f30o31_left,31,817.94648140598,-1694.62267967469,817.94648140598,-1694.62267967469,817.94648140598,-1694.62267967469,798.2208373832386,-1749.8223710455457,798.2208383850856,-1749.822375242409,6.236100299896555,-13.670487306584263,-34.03885787083894,7.131128223946139,-47.34679757768252,7.089976840767379,-65.93033766190372,-33.225771302503844,-67.9966274748646,0.053128134842702526,-55.79779984281711,8.340598606526385,86.99253391832696,31.963639764388976,47.58790705713948,32.11830520647194,60.49214562825918,47.46153340529195,41.50206233596772,-88.41712599796313,20.619540241444522,-44.50320353379036,26.273340337116665,43.866568343786895,19.364036294856692,33.96185651905786,30.706513233959974,34.30594044688831,31.28029818555339,32.882115779358514,18.569631963144445,-15.560071970321225,24.241773021690772,-12.518711087767661,25.98882209182365,2.674392757167365,110.49780297979109,-11.81455742880406,7.743791800505185,-1.0171384985116172,-0.1253204957364681,0.17155217999746564
30,f30o41_left,41,1018.341113093253,4.966519361302542,1018.341113093253,4.966519361302542,1018.341113093253,4.966519361302542,1008.0325844131354,3.180926947530409,1008.0325929041329,3.1809268726832065,7.875254632063916,0.024850991194717734,-22.353830183260413,10.064448660843595,-31.67270879106329,6.377920850664854,-39.00375354359315,-55.78000627586983,-41.162282124120146,-8.547578794831944,-20.83983621101302,2.6681568250815597,5.441605753494123,13.775901324884424,-4.383114957436963,26.9040304894032,16.025917741474245,35.11765853153694,-2.77325397133083,-86.81443079600527,-6.82686294987937,-40.45634237591735,-3.579187942236264,47.142877240023985,-5.569796682728846,35.55068990068534,7.384491298333984,41.300927613489776,9.231225361917476,40.63541502524461,9.622676214191229,-20.556776433725414,15.651578182742696,-19.855232545016147,20.319822286620354,9.335777196875394,80.10150459351433,-27.194397282059686,5.9230554008033485,-1.808660094016595,-0.18787533306474805,0.43772029928395356
30,f30o51_left,51,799.4361197459776,1701.5937237462067,799.4361197459776,1701.5937237462067,799.4361197459776,1701.5937237462067,777.852535422174,1753.973018335002,777.8525462317317,1753.9730134313343,6.076973017419445,13.702914167428771,-11.296613613788017,15.38115857067244,-16.230970148078555,6.5614041266444865,-11.607708941916068,-79.81911595870145,-19.21734274972028,-23.802693017257063,8.449907259035541,-13.42694600960603,-56.5221881597171,-27.060743423701613,-46.229507791153885,4.667941970851892,-18.110630382946525,6.982771442519261,-38.909286552299235,-62.38704035699477,-29.747816705247352,-23.428176055028146,-26.397027903950093,46.09861856065283,-25.233948219585802,32.905402112500894,-12.857792879811434,40.33408821416293,-10.28787368254115,38.046293249563156,-0.43364836806550733,-20.762419897953958,4.113500185476121,-25.39938652774717,10.100421463310136,16.8088846064206,46.94382442636167,-53.978046753769696,3.7356033045836727,-2.7853399494935918,-0.19629632590940355,0.3463916296975232
30,f30o61_left,61,252.95160364229523,2790.5398808645673,252.95160364229523,2790.5398808645673,252.95160364229523,2790.5398808645673,204.11938160300383,2877.6014555543616,204.11938998907456,2877.601449929597,1.5946827342702758,22.481261327573357,-1.6461937483349949,22.917351943911402,-2.1363689573974223,7.6283988007800465,13.32417817919336,-100.35154182875239,-5.190195047970062,-43.230721472495176,27.438722782808515,-34.96240890208726,-90.87089567592264,-78.14658715663589,-72.32174481357234,-26.669452374112833,-38.10177017146837,-28.328853147014105,-66.33599572953663,-26.860381356415164,-43.89497858556883,-3.143231291243259,-40.79317586498234,41.429223474176545,-37.79721241417599,29.72118306001964,-25.56879333297787,37.14226978221671,-20.652923170125675,32.062546196145796,-5.511571677068497,-17.949752319577723,-0.05553905520831053,-26.145260156142232,6.864544081538185,22.431360908640418,47.86571810533496,-62.68820814932366,3.786537227856252,-3.017836383975448,-0.18060889352136159,0.003379479837620876
30,f30o71_left,71,-356.4664912559299,2874.518428144744,-356.4664912559299,2874.518428144744,-356.4664912559299,2874.518428144744,-429.8507766377006,2963.97246144268,-429.8507797924924,2963.972460613388,-3.3582092171483167,23.156034848535956,5.199207923905866,30.26612411471895,8.913187684723116,8.679790295367857,33.06610536414818,-111.91545689189647,-0.8757325723309337,-64.45527256320463,34.32686154473154,-59.451572659466954,-97.92232910963993,-135.28359573558834,-82.64749589691228,-64.1889327082162,-47.371551426514294,-67.2216093764845,-83.78335932119472,14.13864286313399,-50.21392787208783,19.805165269188326,-46.250228889212735,33.67971029412909,-42.985505640102794,25.52967924874115,-31.451960917947346,32.44936895828416,-25.439831463455928,26.12517640432492,-6.826955373283559,-14.541327009794012,0.9564126467633411,-23.62005763393974,5.635932827123501,22.42118667536792,35.562472509727804,-55.32714699065851,2.673245668025141,-2.76902969230582,-0.17007283362044884,-0.06721229295023816
30,f30o81_left,81,-651.2130904516275,1900.5425612918266,-651.2130904516275,1900.5425612918266,-651.2130904516275,1900.5425612918266,-724.8972549684892,1959.5868830967627,-724.8972604834328,1959.5868871590421,-5.663259847535938,15.309272555927107,7.559821323300223,28.229221917469445,14.67150163551235,7.0354304677753845,43.06364970707079,-103.41598528885544,-5.8326552787967,-83.5316558820223,29.039183002824373,-85.05069486822347,-79.3765016613561,-200.89079718974813,-78.11442147776779,-107.68191906353596,-43.219729906035866,-107.34067885459582,-93.15440013534241,61.380918078578,-49.27283413893001,45.92511388766974,-43.75155188405039,24.36208421754998,-41.025060923235905,20.057627675820232,-30.76346918630189,28.107491699987772,-24.239261299229423,16.304970103527648,-5.688054803669255,-6.496326397526448,2.7847284963463053,-13.306906077843898,3.5731813803542094,13.629578126080016,-1.297710172050293,-26.326008480873337,-0.1587863433596533,-1.4313126596991692,-0.08898892378084393,-0.060654270726953265
