,Frequency,Image,Orientation,1st PC Layer 0,2nd PC Layer 0,1st PC Layer 1,2nd PC Layer 1,1st PC Layer 2,2nd PC Layer 2,1st PC Layer 3,2nd PC Layer 3,1st PC Layer 4,2nd PC Layer 4,1st PC Layer 5,2nd PC Layer 5,1st PC Layer 6,2nd PC Layer 6,1st PC Layer 7,2nd PC Layer 7,1st PC Layer 8,2nd PC Layer 8,1st PC Layer 9,2nd PC Layer 9,1st PC Layer 10,2nd PC Layer 10,1st PC Layer 11,2nd PC Layer 11,1st PC Layer 12,2nd PC Layer 12,1st PC Layer 13,2nd PC Layer 13,1st PC Layer 14,2nd PC Layer 14,1st PC Layer 15,2nd PC Layer 15,1st PC Layer 16,2nd PC Layer 16,1st PC Layer 17,2nd PC Layer 17,1st PC Layer 18,2nd PC Layer 18,1st PC Layer 19,2nd PC Layer 19,1st PC Layer 20,2nd PC Layer 20,1st PC Layer 21,2nd PC Layer 21,1st PC Layer 22,2nd PC Layer 22,1st PC Layer 23,2nd PC Layer 23,1st PC Layer 24,2nd PC Layer 24,1st PC Layer 25,2nd PC Layer 25
0,10,f10o01,1,1454.8798623290552,-3433.6174899386106,1454.8798623290552,-3433.6174899386106,1454.8798623290552,-3433.6174899386106,2143.645068144809,-5134.794263497423,2143.645045286637,-5134.794277651885,16.7472269163402,-40.11558029413595,-27.034697734176444,-38.50769572667531,-26.650529780795956,-56.08720541521615,12.74736792789992,-70.35289303195499,-119.96978322834079,-0.9309714445575601,-79.29841690280347,-96.58490086166054,-191.60754736182128,-211.01236191361951,119.34875757581901,171.27810017095848,144.86667206265835,-83.75075542274077,124.24996279654572,120.62163554078272,85.81282744409594,101.6948662954482,83.96323110052319,79.24910321246817,73.51074231233437,74.42003135628084,111.29081566542558,40.22597984316328,101.48749727068872,-20.12956114580124,36.90583046864066,29.88377352530394,-46.28729623314249,33.11691024103708,25.01754887307614,18.7655921202113,31.036866523072767,60.972829868612585,3.925246080056101,3.9837028535471224,-0.4176499306100758,-0.046309008657796843
1,10,f10o11,11,2954.012800290979,-4668.8638676091905,2954.012800290979,-4668.8638676091905,2954.012800290979,-4668.8638676091905,4384.357190069197,-6980.139102130169,4384.357153142479,-6980.139126172563,34.25279025897504,-54.53233692319062,-35.6602671685068,-50.599484727631,-25.95591605204519,-62.16250627744713,7.928142312328578,-83.89450045476666,-116.4639978452838,-3.580135023102563,-72.7751582341802,-88.7265403665835,-176.67893638326717,-193.88910885810975,109.26530078433295,153.77984827750558,136.5850516580648,-83.12064757820572,113.34761281151162,100.27580587258454,84.49804674937296,97.01982416732754,80.01391112572894,88.97365932072923,69.1049411050682,80.4651206747178,114.1394315628162,27.24281104441484,102.89138353186578,-6.552788118908531,39.66334759109853,25.602777678885644,-50.31067028185038,30.006223382801977,31.867802406038077,22.610259427035487,58.5695974590581,97.86967745929793,6.577517078323199,7.430056870775149,-0.4217252647914223,-0.04400322711902998
2,10,f10o21,21,4465.267212318404,-4440.958049714623,4465.267212318404,-4440.958049714623,4465.267212318404,-4440.958049714623,6653.505195908448,-6637.60916248172,6653.505156280769,-6637.609198211734,51.98050903348929,-51.85632186097796,-43.40011257809868,-56.92655650002052,-20.10129377557824,-64.71713756023628,-1.9635203189252466,-92.78459573012113,-110.64511390489217,-8.84931056942461,-60.468806764486416,-82.30137228433794,-145.9222039875381,-178.78201886168026,89.65140320603761,139.13899294584886,118.99813258372306,-89.1833822754532,87.24495879729298,78.86814684886939,66.06045040823543,87.41673503282175,61.304126903373806,94.03180010935345,52.391598695034524,80.89175402954133,110.67449901149101,9.77476859087347,102.02280112422453,5.352356825504604,41.420896877538276,20.13683042157351,-52.95401756083166,25.74511044308079,35.06378241742707,21.60935323933677,74.77026846926236,101.27273234215315,7.695606897185682,8.242919341261214,-0.41869512784510454,-0.04770821383466808
3,10,f10o31,31,5577.854743633781,-2678.6440132646444,5577.854743633781,-2678.6440132646444,5577.854743633781,-2678.6440132646444,8328.192405126561,-4001.7280307842657,8328.192382789191,-4001.7280758752127,65.06400299056395,-31.263500592713505,-50.83697493762065,-57.34717290876211,-12.075244582027215,-66.24707198998584,-14.462283026106359,-100.22099170905764,-104.9981578043205,-16.399849041865494,-44.866721825277615,-79.60588680901554,-106.27399518233736,-172.81578826673612,63.60380739912499,132.10316465440067,96.68897107792807,-99.53436425243856,52.17663042480431,65.89302535383769,37.05985188051175,83.89387367006643,32.5531808595331,99.62929582425691,28.680212136143084,79.5448798265734,99.11342752295835,-11.443724398961068,90.33058225850002,21.762944822587603,39.15464058558166,9.385288599201479,-51.398701019779345,14.827669536360975,37.657052151091435,14.68865282617961,89.60454054415219,88.8147251084027,8.21932664449787,6.6689224104329945,-0.41416376187131204,-0.0449581291007549
4,10,f10o41,41,5981.416844030165,19.54788628903793,5981.416844030165,19.54788628903793,5981.416844030165,19.54788628903793,8935.039939853099,33.39742033456605,8935.039937853904,33.39737392497996,69.80499951448155,0.2609169838526472,-57.77013756726143,-52.877420043779516,-3.437647013811751,-67.68979283991182,-28.008716430572203,-106.29985904517733,-100.86320129149766,-25.58001931340679,-27.615290362064062,-80.98547747278897,-61.73200732344044,-177.40459260775154,34.60416741252099,133.02499001922686,71.52829636492358,-112.91532995618132,11.817066998625032,65.44916612834469,4.835937532413254,86.1096626730588,-1.794714997123139,105.63286886603227,0.7053181779086409,80.79849875551905,84.07243529317685,-33.325782302147374,71.5568662318493,36.389590908691126,34.11222326563836,-1.8545193745327868,-43.79336389557787,2.570118274566523,35.01719857539919,4.774767094054199,92.45350515866275,52.290683691369274,8.18800071971103,3.183939089797378,-0.3122981613454355,-0.026821812572618866
5,10,f10o51,51,5564.762239931735,2712.4115729361138,5564.762239931735,2712.4115729361138,5564.762239931735,2712.4115729361138,8304.784897013533,4059.9691886654246,8304.78492078446,4059.9691443188467,64.88113219359836,31.71850894004968,-62.94679047502497,-45.509974417549714,5.288038094582044,-68.6839377432902,-41.03210718446808,-107.70071362960283,-99.63625891890162,-35.20807101743618,-11.58245615309537,-86.86951302369216,-21.195945304303038,-194.560970249406,9.325860245568945,142.90858056158106,50.802898135356195,-129.1007248575765,-23.342270087263525,77.92877069154908,-20.228264631329342,92.00839109318483,-29.181422230987646,108.76974980662695,-21.95909829145108,83.6473081437212,74.15828027152062,-53.04846188918649,57.326166601013206,54.08537210896458,35.197690060536765,-12.528820992047718,-44.839857822790414,-7.16109480528723,37.57005786639034,-3.36464349161529,113.07182148139525,14.544885729588685,10.180936192593865,-0.6237083680252957,-0.3761849312938985,0.029984213837600568
6,10,f10o61,61,4442.020740909119,4466.14906497105,4442.020740909119,4466.14906497105,4442.020740909119,4466.14906497105,6612.365540697479,6682.083697590662,6612.365582389211,6682.083662355677,51.659106112367205,52.20377861220022,-64.09635968327933,-36.94121552278083,13.502931026630124,-68.4961058821111,-51.927773218770845,-102.03293596016535,-101.28497284917641,-44.02629889673163,1.248522515779923,-96.79405648239212,9.861717980816238,-222.4758559673347,-9.573211370763358,160.70793484014354,37.188435456088555,-146.85704999686004,-49.24943917333182,101.46282404737711,-37.22051974931996,102.41482843002233,-47.49970777582096,109.77929139137008,-36.76213427909445,86.82816253412696,68.147434036639,-64.68486576228341,50.55855157227169,60.35698671224889,35.0454896066547,-15.054483952116383,-44.97952080016533,-10.911853289906224,38.824698606203256,-7.167814137720567,114.03317270575839,0.16004917647705363,10.2544879963199,-2.0659114170056796,-0.4211642880491524,0.10336732127049772
7,10,f10o71,71,2927.7383966321772,4684.264535077725,2927.7383966321772,4684.264535077725,2927.7383966321772,4684.264535077725,4338.265924880955,7007.589397814151,4338.265958257643,7007.589371460507,33.89270279883271,54.74679196456097,-58.53450343282266,-28.248039349792194,20.228252745624363,-66.49345494882236,-59.587248146407276,-90.4831084201291,-104.21025969666802,-50.9859391060129,10.770555635329869,-108.63822622215547,30.994842758566072,-254.74365000244183,-21.352472764283238,182.88898718708506,30.638197746034407,-162.24258447770762,-63.2770420972356,131.0412730022044,-44.38218252728236,113.88798131649607,-56.049053461794074,108.87039700414417,-43.369455957345735,87.92633725319841,61.44178466044141,-72.71949674271747,41.527449476954395,64.05786548169837,34.07994116781771,-16.273703985400033,-44.65703226789489,-10.95057817493548,37.39238175627646,-7.877448959504837,119.03765755515943,-3.896487997558741,11.03600782968546,-2.7271184191257616,-0.4307361847265026,0.23859231727721922
8,10,f10o81,81,1435.9409125647735,3439.597509119371,1435.9409125647735,3439.597509119371,1435.9409125647735,3439.597509119371,2110.084483582244,5145.870917547522,2110.0845102458347,5145.870903727875,16.48503523625623,40.20211643538689,-45.72268980843709,-19.926843415208875,24.041903100620917,-61.05933028937886,-61.463807977838705,-72.86564727005825,-106.50700914141483,-54.539152287339576,16.301148528498747,-119.07483650940486,40.32204309794539,-280.17967859089794,-24.339818060153874,203.554762085113,31.936649840646933,-171.06498182160152,-60.78166446366275,157.75310485733132,-39.68695247442967,123.26634694211202,-52.02442084079275,104.4311058224828,-40.56036845749187,86.27098878810268,58.04905992533287,-69.3972521300752,39.70484575746858,57.940250355523055,32.18285852735282,-12.1628147958851,-43.46276567110527,-6.5187010813153075,33.22898780626224,-5.800981275588605,109.87796617806222,-8.956929224780804,10.475027657918588,-3.313891107736903,-0.4572490833252385,0.5541657405000062
9,20,f20o01,1,594.0197814696656,-3350.360969297825,594.0197814696656,-3350.360969297825,594.0197814696656,-3350.360969297825,828.9851651972876,-4961.372900465377,828.9851370177215,-4961.372906913078,6.4764463829893435,-38.76072583525367,-16.57517575116903,-42.23703760526159,-40.2999906168634,-49.52110070330827,41.102956722529655,-69.1817426112384,-111.01548456148515,17.248477528072783,-92.61671959077181,-81.84204065477806,-227.2670711861142,-176.1572720533678,140.84669136048834,140.8006054103188,161.7926098126638,-62.22772622881218,153.43247315726873,109.28300268636366,97.57241815088179,75.0640580556638,99.6726429437625,61.23984754491464,89.09952990949223,59.679410561194764,98.99650267547909,55.121470644403146,88.37329756508899,-34.40240319190327,29.90196865331048,33.9325299491528,-37.644359629827285,36.48639613803927,17.77926768132987,27.030225983833432,12.994010818635429,82.63937083286291,1.675546539059799,7.481422034895543,-0.4084472865527453,-0.048533909149189716
